iso,name,lon,lat,size_pop,pop_basis,source
MEX,Mazatlan,-106.41885,23.22163,381583,minor,GeoNames
MEX,Irapuato,-101.35577,20.671,380941,minor,GeoNames
MEX,Miguel Hidalgo,-99.20024,19.43411,372889,minor,GeoNames
CAN,Etobicoke,-79.56985,43.64415,365000,minor,GeoNames
USA,Aurora,-104.83192,39.72943,359407,minor,GeoNames
MEX,Benito Juarez,-99.15766,19.3984,355017,minor,GeoNames
MEX,Tapachula,-92.25891,14.90541,353706,minor,GeoNames
USA,Anaheim,-117.9145,33.83529,350742,minor,GeoNames
MEX,Celaya,-100.81399,20.52181,340387,minor,GeoNames
CAN,Markham,-79.2663,43.86682,338503,minor,GeoNames
MEX,Tepic,-104.89332,21.50733,332863,minor,GeoNames
MEX,Ciudad Victoria,-99.14364,23.74061,332100,minor,GeoNames
MEX,Soledad de Graciano Sanchez,-100.93792,22.18912,332072,minor,GeoNames
MEX,Ciudad Obregon,-109.94079,27.48642,329404,minor,GeoNames
CAN,Vaughan,-79.49827,43.8361,323103,minor,GeoNames
MEX,Ixtapaluca,-98.88284,19.31556,322271,minor,GeoNames
USA,Lexington,-84.47772,37.98869,320347,minor,GeoNames
USA,Riverside,-117.39616,33.95335,317261,minor,GeoNames
USA,Corpus Christi,-97.39638,27.80058,316239,minor,GeoNames
USA,Lexington-Fayette,-84.45855,38.0498,314488,minor,GeoNames
MEX,Coatzacoalcos,-94.4447,18.14905,310698,minor,GeoNames
USA,Santa Ana,-117.86783,33.74557,310227,minor,GeoNames
MEX,Ciudad Benito Juarez,-100.09142,25.6466,308285,minor,GeoNames
USA,Stockton,-121.29078,37.9577,305658,minor,GeoNames
MEX,Tlahuac,-99.00507,19.28689,305076,minor,GeoNames
MEX,Santa Catarina,-100.45813,25.67325,304052,minor,GeoNames
USA,Saint Paul,-93.09327,44.94441,303176,minor,GeoNames
CAN,Gatineau,-75.70164,45.47723,300045,minor,GeoNames
MEX,Uruapan,-102.05842,19.41677,299523,minor,GeoNames
USA,Lincoln,-96.66696,40.8,294757,minor,GeoNames
MEX,Cholula,-98.30352,19.06406,292881,minor,GeoNames
CAN,Victoria,-123.35155,48.4359,289625,minor,GeoNames
USA,Anchorage,-149.90028,61.21806,289600,minor,GeoNames
USA,Meads,-82.70905,38.41258,288649,minor,GeoNames
USA,Henderson,-114.98194,36.0397,285667,minor,GeoNames
USA,Plano,-96.69889,33.01984,283558,minor,GeoNames
USA,Newark,-74.17237,40.73566,281944,minor,GeoNames
MEX,Nicolas Romero,-99.3068,19.64177,281799,minor,GeoNames
MEX,Zumpango,-99.09946,19.7967,280455,minor,GeoNames
USA,Madison,-89.40123,43.07305,280305,minor,GeoNames
MEX,Coacalco,-99.10689,19.62923,277959,minor,GeoNames
CAN,Saskatoon,-106.66892,52.13238,266141,minor,GeoNames
USA,Chula Vista,-117.0842,32.64005,265757,minor,GeoNames
MEX,Nogales,-110.94217,31.30862,264782,minor,GeoNames
USA,Jersey City,-74.07764,40.72816,264290,minor,GeoNames
USA,Reno,-119.8138,39.52963,264165,minor,GeoNames
USA,Chandler,-111.84125,33.30616,260828,minor,GeoNames
USA,Fort Wayne,-85.12886,41.1306,260326,minor,GeoNames
USA,Durham,-78.89862,35.99403,257636,minor,GeoNames
MEX,Gomez Palacio,-103.4996,25.56871,257352,minor,GeoNames
USA,St. Petersburg,-82.67927,27.77086,257083,minor,GeoNames
USA,Irvine,-117.82311,33.66946,256927,minor,GeoNames
MEX,Los Mochis,-108.99825,25.79097,256613,minor,GeoNames
MEX,Pachuca de Soto,-98.73329,20.11697,256584,minor,GeoNames
USA,Laredo,-99.50754,27.50641,256153,minor,GeoNames
MEX,La Paz,-110.31316,24.14231,250141,minor,GeoNames
CAN,Burnaby,-122.95263,49.26636,249125,minor,GeoNames
USA,Lubbock,-101.85517,33.57786,249042,minor,GeoNames
MEX,Tehuacan,-97.39735,18.46422,248716,minor,GeoNames
USA,Gilbert,-111.78903,33.35283,247542,minor,GeoNames
USA,Winston-Salem,-80.24422,36.09986,241218,minor,GeoNames
USA,Glendale,-112.18599,33.53865,240126,minor,GeoNames
USA,Norfolk,-76.28522,36.84681,238005,minor,GeoNames
USA,Hialeah,-80.27811,25.8576,237069,minor,GeoNames
USA,Garland,-96.63888,32.91262,236897,minor,GeoNames
USA,Scottsdale,-111.89903,33.50921,236839,minor,GeoNames
USA,Irving,-96.94889,32.81402,236607,minor,GeoNames
USA,Boise,-116.20345,43.6135,235684,minor,GeoNames
USA,Chesapeake,-76.27494,36.81904,235429,minor,GeoNames
USA,Fremont,-121.98857,37.54827,232206,minor,GeoNames
CAN,Windsor,-83.01654,42.30008,229660,minor,GeoNames
USA,Spokane,-117.42908,47.65966,229447,minor,GeoNames
CAN,Longueuil,-73.46818,45.5152,229330,minor,GeoNames
CAN,Regina,-104.6178,50.45008,226404,minor,GeoNames
MEX,Puerto Vallarta,-105.23018,20.617,224166,minor,GeoNames
USA,Paradise,-115.14666,36.09719,223167,minor,GeoNames
USA,Tacoma,-122.44429,47.25288,222906,minor,GeoNames
MEX,Campeche,-90.51676,19.84073,220389,minor,GeoNames
MEX,Buenavista,-99.16944,19.60833,216776,minor,GeoNames
USA,San Bernardino,-117.28977,34.10834,216108,minor,GeoNames
MEX,Ciudad Acuna,-100.95217,29.32322,216099,minor,GeoNames
MEX,San Cristobal de las Casas,-92.63825,16.73006,215874,minor,GeoNames
MEX,Jiutepec,-99.17778,18.88139,215357,minor,GeoNames
MEX,Monclova,-101.42056,26.90687,215271,minor,GeoNames
USA,Huntsville,-86.58594,34.7304,215006,minor,GeoNames
CAN,Oakville,-79.68292,43.45011,213759,minor,GeoNames
USA,Fontana,-117.43505,34.09223,212704,minor,GeoNames
USA,Modesto,-120.99688,37.6391,211266,minor,GeoNames
CAN,Richmond,-123.13683,49.17003,209937,minor,GeoNames
